date,source,query,fields_or_scope,results_seen,records_harvested,notes
2026-05-28,Scopus,"Basic Scopus document search within Article title, Abstract, Keywords: ((""digital capability"" OR ""digital capabilities"" OR ""digital literacy"" OR ""digital skills"" OR ""digital competence"" OR ""eHealth literacy"" OR ""digital inclusion"" OR ""digital capital"") AND (""life outcomes"" OR employment OR employability OR health OR wellbeing OR ""well-being"" OR education OR learning OR ""quality of life"" OR ""social inclusion"" OR ""social participation""))","Article title, Abstract, Keywords; JGU academic access via Chrome; searchId bc27af20-5063-4c94-888c-10a21cb76f1c","23,351 documents found",0,"Broad scoping run only; judged too noisy for final SLR screening, used to justify focused strand searches."
2026-05-28,Scopus,"Basic Scopus document search within Article title, Abstract, Keywords: ((""digital capability"" OR ""digital capabilities"") AND (""life outcomes"" OR employment OR employability OR health OR wellbeing OR ""well-being"" OR education OR learning OR ""quality of life"" OR ""social inclusion"" OR ""social participation""))","Article title, Abstract, Keywords; JGU academic access via Chrome; searchId 1e5ce337-f7c0-408f-a4b5-260ca9258b2c; sorted by relevance for visible seed harvest",566 documents found; raw Scopus CSV export contains 566 rows plus header,566 raw export; 10 seed records logged as SC01-SC10,"Raw export saved to slr_prisma_dclo/raw_exports/scopus_dclo_core_566_2026-05-28.csv. Export included citation, bibliographic, abstract/keywords, funding, references and related metadata."
2026-05-28,supplementary discovery platform A,digital capabilities digital literacy life outcomes employment health education social inclusion,supplementary discovery platform A structured synthesis plus visible references,20 reference seeds visible in result panel,20,Used as supplementary seed discovery only; each record remains subject to DOI/publisher/full-text verification.
2026-05-28,supplementary discovery platform C,digital literacy life outcomes employment health education social inclusion,Public landing/query URL,0 usable records,0,Page reached but did not expose a usable result set in this session; no login or account action performed.
2026-05-28,supplementary discovery platform B,digital capabilities digital literacy life outcomes employment health education social inclusion,"Authenticated Chrome session, Literature Review search",10 visible records out of 100; generated answer pane returned 'Something went wrong',10,Used Chrome profile after user logged in. No passwords/cookies inspected. Records kept as Supplementary discovery seeds pending DOI/publisher/full-text verification.
2026-05-28,Google/Web,PRISMA 2020 statement official website checklist flow diagram; PRISMA-S literature search extension,Official reporting guidelines and DOI records,Official PRISMA and publisher records,2,Method anchors for report and search-log structure.
2026-05-28,Google/Web,digital capability framework Jisc; DigComp 2.2; Australian Digital Capability Framework,Official frameworks and standards,Official framework pages,3,Used to ground DCLO construct dimensions.
2026-05-28,Google/Web + local workspace,Doughnut Economics Raworth social foundation ecological ceiling planetary boundaries; local Doughnut/DPI strategy notes,Theory/framework search plus local prior-work scan,Raworth/Oxfam Doughnut framing; Doughnut Economics Action Lab overview; planetary-boundaries theory; local DPI strategy note with Doughnut scores and social/ecological outcomes,4,Used to integrate life outcomes as a social foundation while retaining an ecological ceiling/planetary-boundary constraint in DCLO.
2026-05-28,Google/Web,digital public infrastructure digital public goods governance inclusion capabilities,Official DPI/DPG governance sources,"DPGA, UNDP, World Bank resources",3,Used for governance strand; final SLR should add Scopus/Web of Science academic sources.
2026-05-28,Google/Web,ADHD TikTok self diagnosis misinformation study; ADHD social media self diagnosis review,Publisher/DOI pages and search seeds,TikTok ADHD content-quality study plus qualitative/self-understanding seeds,3,Use podcast-first boundary; social media is triangulation and risk literature until ethics approval.
2026-05-28,Local workspace,"DCLO, podcast-discourse-lab, UN80/ITU mandate-overlap artefacts",Existing local research outputs and code/data projects,DCLO pipeline; ADHD podcast lab; UN80/ITU governance work,3,"Local artefacts are thesis evidence, not literature records; listed to connect SLR to PhD execution."
